H,HV,HKO,PL,D,ER,PIND,MOODETUD_P,KKT,DBH,H_VALEM,V,S
17.90,3.10,2.40,KU,20.35,11,0.88644,0.88644,JO,20.35,19.983,0.30656,7.6985
9.70,3.00,0.40,KU,8.10,11,0.88644,0.88644,JO,8.10,10.990,0.03063,1.8062
19.40,1.80,0.60,KU,15.85,11,0.88644,0.88644,JO,15.85,17.629,0.20493,6.5863
14.30,8.20,0.00,KS,10.70,10,0.64010,0.64010,JO,10.70,13.717,0.06132,2.9682
20.30,10.60,0.00,KS,18.20,11,0.88644,0.88644,JO,18.20,18.952,0.23952,7.0453
9.60,3.10,0.60,KU,9.10,11,0.88644,0.88644,JO,9.10,12.113,0.03813,2.0029
16.50,5.30,0.00,KS,14.50,10,0.64010,0.64010,JO,14.50,16.755,0.12691,4.6005
18.50,6.30,0.00,KS,16.60,11,0.88644,0.88644,JO,16.60,18.076,0.18355,5.8740
8.30,2.60,0.40,KU,7.00,11,0.88644,0.88644,JO,7.00,9.640,0.01809,1.0821
11.90,1.70,0.40,KU,14.25,11,0.88644,0.88644,JO,14.25,16.583,0.10910,3.7576
18.20,1.70,0.50,KU,19.70,11,0.88644,0.88644,JO,19.70,19.687,0.29263,7.5903
8.40,3.40,1.80,KU,8.45,11,0.88644,0.88644,JO,8.45,11.394,0.02949,1.6480
12.10,5.10,0.50,KU,9.05,10,0.64010,0.64010,JO,9.05,12.059,0.04589,2.4695
12.80,3.00,0.30,KU,15.75,10,0.64010,0.64010,JO,15.75,17.567,0.14068,4.4205
7.70,2.80,0.30,KU,8.45,7,1.36565,0.09597,MO,8.45,11.394,0.02743,1.5213
13.20,3.40,0.00,KS,10.95,11,0.88644,0.88644,JO,10.95,13.949,0.06017,2.8204
8.80,1.70,0.40,KU,9.55,11,0.88644,0.88644,JO,9.55,12.587,0.03895,1.9368
18.50,10.80,0.00,KS,11.60,10,0.64010,0.64010,JO,11.60,14.527,0.08963,4.1047
23.70,11.70,9.30,KU,31.20,7,1.36565,0.09597,MO,31.20,23.527,0.87441,14.8239
20.00,7.70,0.00,KS,18.20,11,0.88644,0.88644,JO,18.20,18.952,0.23636,6.9441
17.60,6.60,0.30,KU,26.70,10,0.64010,0.64010,JO,26.70,22.316,0.50198,9.6994
15.00,2.60,0.30,KU,12.45,11,0.88644,0.88644,JO,12.45,15.236,0.10262,4.1038
15.40,7.10,0.00,KS,9.85,11,0.88644,0.88644,JO,9.85,12.893,0.05526,2.9283
14.10,3.40,0.60,KU,12.15,11,0.88644,0.88644,JO,12.15,14.992,0.09277,3.7827
23.70,7.10,1.70,KU,16.25,10,0.64010,0.64010,JO,16.25,17.870,0.25804,8.1802
14.90,3.20,1.80,KU,12.90,10,0.64010,0.64010,JO,12.90,15.592,0.10926,4.2184
9.80,3.00,0.40,KU,10.15,7,1.36565,0.09597,MO,10.15,13.191,0.04800,2.2687
19.30,14.00,0.00,KS,14.05,10,0.64010,0.64010,JO,14.05,16.443,0.13647,5.1788
10.30,3.90,0.70,KU,8.85,11,0.88644,0.88644,JO,8.85,11.841,0.03831,2.0807
20.00,11.30,0.00,KS,14.90,10,0.64010,0.64010,JO,14.90,17.024,0.15841,5.6850
9.40,4.00,0.40,KU,7.50,10,0.64010,0.64010,JO,7.50,10.269,0.02292,1.2852
8.90,3.30,0.50,KU,7.00,11,0.88644,0.88644,JO,7.00,9.640,0.01909,1.1460
8.90,1.50,0.60,KU,9.95,11,0.88644,0.88644,JO,9.95,12.993,0.04260,2.0363
10.90,0.50,0.40,KU,13.40,11,0.88644,0.88644,JO,13.40,15.972,0.08997,3.2671
15.20,4.60,0.20,KU,12.00,10,0.64010,0.64010,JO,12.00,14.867,0.09668,4.0118
19.40,11.20,0.00,KS,12.65,10,0.64010,0.64010,JO,12.65,15.396,0.11114,4.6861
18.20,3.80,0.50,KU,21.55,11,0.88644,0.88644,JO,21.55,20.497,0.34658,8.2447
22.80,6.30,0.60,KU,26.30,11,0.88644,0.88644,JO,26.30,22.194,0.61622,12.2687
16.30,3.40,0.50,KU,18.10,11,0.88644,0.88644,JO,18.10,18.900,0.22609,6.3188
13.80,4.40,1.00,KU,11.30,10,0.64010,0.64010,JO,11.30,14.264,0.07913,3.4585
17.80,5.80,0.00,VA,26.40,11,0.88644,0.88644,JO,26.40,22.225,0.45271,8.9791
10.40,3.50,0.20,KU,8.55,11,0.88644,0.88644,JO,8.55,11.507,0.03611,2.0304
12.20,1.00,0.20,KU,13.55,11,0.88644,0.88644,JO,13.55,16.083,0.10113,3.6660
9.50,2.50,0.00,KU,14.30,10,0.64010,0.64010,JO,14.30,16.618,0.09090,3.0612
27.90,11.30,6.00,KU,46.40,11,0.88644,0.88644,JO,46.40,26.159,2.07046,24.3169
15.80,5.00,0.00,KS,14.60,10,0.64010,0.64010,JO,14.60,16.823,0.12404,4.4464
13.10,2.00,0.30,KU,11.75,11,0.88644,0.88644,JO,11.75,14.656,0.08161,3.4196
14.60,2.00,0.70,KU,13.75,11,0.88644,0.88644,JO,13.75,16.229,0.12139,4.3974
10.80,4.00,0.60,KU,9.65,11,0.88644,0.88644,JO,9.65,12.690,0.04722,2.3641
25.80,3.10,3.00,KU,34.50,10,0.64010,0.64010,JO,34.50,24.255,1.13576,17.5768
15.50,6.80,0.00,VA,19.10,11,0.88644,0.88644,JO,19.10,19.402,0.20947,5.6786
